<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MOEX;D;240410;000000;22180;22252;22044;22120;3061
MOEX;D;240411;000000;22161;22197;21794;21925;4274
MOEX;D;240412;000000;21923;22364;21875;22270;2358
MOEX;D;240415;000000;22269;22356;22075;22192;1831
MOEX;D;240416;000000;22192;22192;21899;22078;1688
MOEX;D;240417;000000;22079;22140;21950;22014;1828
MOEX;D;240418;000000;22034;22737;21727;21962;4958
MOEX;D;240419;000000;21965;21973;21766;21930;2255
MOEX;D;240422;000000;21980;21981;21752;21874;1712
MOEX;D;240423;000000;21852;21989;21471;21589;3624
MOEX;D;240424;000000;21562;21646;21447;21560;2466
MOEX;D;240425;000000;21570;22379;21498;22090;9581
MOEX;D;240426;000000;22096;22315;21974;22255;4599
MOEX;D;240427;000000;22255;22451;22236;22400;2514
MOEX;D;240429;000000;22444;22733;22328;22578;2919
MOEX;D;240430;000000;22584;22700;22302;22665;2109
MOEX;D;240502;000000;22662;22766;22480;22596;2454
MOEX;D;240503;000000;22596;22599;22372;22509;1671
MOEX;D;240506;000000;22496;22536;21828;21955;3397
MOEX;D;240507;000000;21950;22320;21885;22318;6206
MOEX;D;240508;000000;22319;22319;21976;22079;3073
MOEX;D;240510;000000;22075;22282;22033;22220;2333
MOEX;D;240513;000000;22250;22405;21992;22195;5298
MOEX;D;240514;000000;22118;22330;22118;22261;2228
MOEX;D;240515;000000;22316;22468;22067;22287;2580
MOEX;D;240516;000000;22300;22758;22230;22690;3180
MOEX;D;240517;000000;22722;22877;22586;22756;2889
MOEX;D;240520;000000;22795;23065;22146;22585;4546
MOEX;D;240521;000000;22600;22849;22460;22781;2071
MOEX;D;240522;000000;22821;22905;22585;22648;2204
MOEX;D;240523;000000;22604;22758;22352;22602;2988
MOEX;D;240524;000000;22601;22662;22400;22616;1927
MOEX;D;240527;000000;22633;22899;22371;22502;4043
MOEX;D;240528;000000;22613;22958;22079;22769;6613
MOEX;D;240529;000000;22671;23432;22671;23337;8169
MOEX;D;240530;000000;23332;23552;23013;23226;6389
MOEX;D;240531;000000;23145;23416;21983;22496;11889
MOEX;D;240603;000000;22600;23186;22089;22537;11350
MOEX;D;240604;000000;22512;23536;22397;23499;11842
MOEX;D;240605;000000;23500;23673;23175;23448;6400
MOEX;D;240606;000000;23423;23779;23273;23505;6580
MOEX;D;240607;000000;23473;23819;23160;23347;11675
MOEX;D;240610;000000;23350;23472;23049;23277;3017
MOEX;D;240611;000000;23308;23693;23080;23663;5500
MOEX;D;240613;000000;21576;23317;21430;23310;40247
MOEX;D;240614;000000;23335;24156;23300;24119;22482
MOEX;D;240617;000000;24119;24300;23529;23621;8551
MOEX;D;240618;000000;23621;23663;22763;23086;13910
MOEX;D;240619;000000;24093;24575;23685;24067;7701
MOEX;D;240620;000000;24100;24429;23751;24333;3820
MOEX;D;240621;000000;24289;24389;23450;23489;5227
MOEX;D;240624;000000;23450;23720;22950;23063;6671
MOEX;D;240625;000000;23042;23691;22872;23587;7247
MOEX;D;240626;000000;23664;23912;23546;23793;11583
MOEX;D;240627;000000;23849;23954;23673;23773;2397
MOEX;D;240628;000000;23771;23835;23687;23800;7025
MOEX;D;240701;000000;23850;24129;23803;24088;3083
MOEX;D;240702;000000;24129;24867;24129;24732;4795
MOEX;D;240703;000000;24686;24899;24317;24348;6679
MOEX;D;240704;000000;24348;24849;24223;24393;5325
MOEX;D;240705;000000;24400;24525;23850;24479;6818
MOEX;D;240708;000000;24514;24751;24050;24050;5591
MOEX;D;240709;000000;24144;24144;23400;23662;9182
MOEX;D;240710;000000;23631;23683;23000;23121;29866
MOEX;D;240711;000000;23024;24003;22972;23857;15798
MOEX;D;240712;000000;23894;23932;23253;23599;10162
MOEX;D;240715;000000;23644;23753;23203;23358;14560
MOEX;D;240716;000000;23373;23570;23057;23367;13323
MOEX;D;240717;000000;23400;23648;23304;23427;3720
MOEX;D;240718;000000;23484;23744;23381;23744;3018
MOEX;D;240719;000000;23680;24050;23583;23994;5391
MOEX;D;240722;000000;24104;24294;23871;24276;2982
MOEX;D;240723;000000;24284;24296;23718;23856;8056
MOEX;D;240724;000000;23825;23899;23512;23800;7842
MOEX;D;240725;000000;23755;24054;23523;23784;6335
MOEX;D;240726;000000;23850;24779;23784;24511;32660
MOEX;D;240729;000000;24549;24942;23848;24068;13790
MOEX;D;240730;000000;24083;24224;23791;23921;5988
MOEX;D;240731;000000;23944;23959;23610;23795;3489
MOEX;D;240801;000000;23814;24083;23434;23489;4190
MOEX;D;240802;000000;23508;23768;23252;23579;6661
MOEX;D;240805;000000;23330;23442;22648;22860;10773
MOEX;D;240806;000000;23157;23300;22923;23118;3889
MOEX;D;240807;000000;23131;23263;22750;23169;6808
MOEX;D;240808;000000;23173;23496;23094;23206;3493
MOEX;D;240809;000000;23182;23225;23002;23045;1933
MOEX;D;240812;000000;23029;23348;22815;23310;5127
MOEX;D;240813;000000;23280;23328;22941;23103;2597
MOEX;D;240814;000000;23103;23117;22750;22781;5112
MOEX;D;240815;000000;22781;22938;22512;22755;7612
MOEX;D;240816;000000;22775;22845;22359;22496;2255
MOEX;D;240819;000000;22519;22604;21604;21752;11739
MOEX;D;240820;000000;21814;21870;21300;21434;8845
