<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
Si;D;230727;000000;89303;90065;88984;89903;1009033
Si;D;230728;000000;89859;91350;89710;91321;920050
Si;D;230731;000000;91490;91875;90550;90872;1010504
Si;D;230801;000000;90973;92134;90633;91931;823037
Si;D;230802;000000;91835;93795;91525;93377;1269308
Si;D;230803;000000;93259;93958;92476;93475;1465635
Si;D;230804;000000;93475;95230;93295;94714;1269498
Si;D;230807;000000;94698;96102;93300;94358;1587923
Si;D;230808;000000;94630;96792;94250;96668;1425014
Si;D;230809;000000;96127;96989;95625;95676;1525811
Si;D;230810;000000;95809;96940;95222;96800;1534967
Si;D;230811;000000;96879;98920;96600;98820;1500082
Si;D;230814;000000;98950;100783;95708;95750;2902483
Si;D;230815;000000;95340;98431;94350;95250;2825901
Si;D;230816;000000;95915;96430;93115;93833;2007495
Si;D;230817;000000;93456;94481;91700;92692;1970582
Si;D;230818;000000;92596;93157;91529;92960;1302177
Si;D;230821;000000;92703;94027;92222;92745;1565886
Si;D;230822;000000;92859;93669;92741;93396;1170641
Si;D;230823;000000;93498;94390;92901;94341;1481995
Si;D;230824;000000;93902;94296;93542;94150;902368
Si;D;230825;000000;94140;95540;93931;95266;1255659
Si;D;230828;000000;95396;95818;95027;95234;1217451
Si;D;230829;000000;95382;96300;95072;95470;1364097
Si;D;230830;000000;95731;96245;95507;96217;763192
Si;D;230831;000000;96300;96423;95342;95825;1125960
Si;D;230901;000000;95902;96643;95550;96139;1356212
Si;D;230904;000000;96182;96894;96111;96855;703039
Si;D;230905;000000;96942;97989;96942;97949;885357
Si;D;230906;000000;97949;98499;97309;98262;1240645
Si;D;230907;000000;98264;98655;97116;98346;1572811
Si;D;230908;000000;98400;98444;97538;97670;1064091
Si;D;230911;000000;97320;97320;94676;94796;1675899
Si;D;230912;000000;94095;95548;93744;95148;1816171
Si;D;230913;000000;95162;96739;95162;96408;956945
Si;D;230914;000000;96468;97049;95653;96634;2088277
Si;D;230915;000000;96660;97298;95957;96500;1793238
Si;D;230918;000000;96520;97203;96268;96389;1292019
Si;D;230919;000000;96399;97644;95880;96821;1125280
Si;D;230920;000000;95445;95843;94440;94660;999263
Si;D;230921;000000;94665;95640;93889;95274;1662869
Si;D;230922;000000;95300;95969;95138;95888;853908
Si;D;230925;000000;95875;96112;95084;95862;866284
Si;D;230926;000000;95922;96320;95710;96189;547203
Si;D;230927;000000;96162;96666;95800;96589;762321
Si;D;230928;000000;96586;97336;96282;97031;774698
Si;D;230929;000000;97064;98470;97003;98460;875680
Si;D;231002;000000;98469;99900;98000;99882;1106386
Si;D;231003;000000;99858;99951;98939;99430;964926
Si;D;231004;000000;99454;100234;99031;99799;936274
Si;D;231005;000000;99794;101390;99618;101189;1076606
Si;D;231006;000000;101229;101854;99807;100449;1713821
Si;D;231009;000000;100450;102577;98555;98781;2050548
Si;D;231010;000000;98828;100687;98828;100588;1476269
Si;D;231011;000000;100526;101031;97030;97398;1621098
Si;D;231012;000000;97399;98517;96850;98153;1698941
Si;D;231013;000000;98188;98650;97372;97830;1154802
Si;D;231016;000000;97830;98156;97428;97825;786904
Si;D;231017;000000;97895;98798;97653;98736;888759
Si;D;231018;000000;98735;98735;98060;98468;911172
Si;D;231019;000000;98496;98685;97656;97709;936776
Si;D;231020;000000;97735;97818;96138;96459;1013086
Si;D;231023;000000;96460;96780;95192;95354;943978
Si;D;231024;000000;95298;95298;94162;94259;886596
Si;D;231025;000000;94240;94649;93901;94449;1177070
Si;D;231026;000000;94456;95290;94456;95161;931209
Si;D;231027;000000;95200;95790;93680;95787;2009609
Si;D;231030;000000;95725;95725;94036;94166;1039411
Si;D;231031;000000;94200;95370;92968;95198;1886149
Si;D;231101;000000;94999;95441;94000;94299;1241116
Si;D;231102;000000;94401;94950;94303;94626;771742
Si;D;231103;000000;94656;94945;93467;93635;1111821
Si;D;231106;000000;93615;93865;93162;93502;382645
Si;D;231107;000000;93670;94063;93366;93929;827872
Si;D;231108;000000;93902;93902;92960;93160;796909
Si;D;231109;000000;93195;93450;92860;93321;686919
Si;D;231110;000000;93313;93830;93022;93680;634821
Si;D;231113;000000;93651;93739;92461;92580;828167
Si;D;231114;000000;92700;92800;91562;91652;831621
Si;D;231115;000000;91548;91580;89976;90295;1459129
Si;D;231116;000000;90251;90547;89630;90317;1009904
Si;D;231117;000000;90300;91400;89926;90801;1127435
Si;D;231120;000000;90686;90686;88553;88660;1450047
Si;D;231121;000000;88480;88906;88029;88427;877636
Si;D;231122;000000;88637;89492;88501;88720;804678
Si;D;231123;000000;88730;89428;88560;89096;720532
Si;D;231124;000000;89278;90080;88971;89415;1490109
Si;D;231127;000000;89621;89840;89005;89800;769240
Si;D;231128;000000;89715;90262;89230;90000;999917
Si;D;231129;000000;89910;89922;89034;89034;1104099
Si;D;231130;000000;89109;90305;88899;89990;1019268
Si;D;231201;000000;89980;91019;89741;90757;858352
Si;D;231204;000000;90830;91695;90826;91546;821856
Si;D;231205;000000;91901;93180;91650;93166;1227226
Si;D;231206;000000;93197;93870;92200;93350;1425020
Si;D;231207;000000;93459;93550;91811;92180;1183914
Si;D;231208;000000;92208;92348;90899;91900;1579150
Si;D;231211;000000;91783;91784;90400;90594;1401949
Si;D;231212;000000;90600;90633;89804;90009;1052564
Si;D;231213;000000;89822;90152;89285;89322;1224789
Si;D;231214;000000;89300;90499;89123;90360;1261612
Si;D;231215;000000;90073;90750;89555;90337;1654221
Si;D;231218;000000;90365;90849;89670;89789;1066465
Si;D;231219;000000;89859;90712;89612;90456;766455
Si;D;231220;000000;91360;92185;91116;92088;684296
Si;D;231221;000000;91790;93205;91617;92222;1416935
Si;D;231222;000000;92196;92744;91456;92061;1014924
Si;D;231225;000000;91976;92844;91408;91647;984148
Si;D;231226;000000;91539;92300;91318;92002;830148
Si;D;231227;000000;92049;92889;91814;92244;896192
Si;D;231228;000000;92195;92199;90624;91177;1340215
Si;D;231229;000000;91464;91994;90527;91850;1008565
Si;D;240103;000000;92002;93387;92002;93258;436455
Si;D;240104;000000;93279;93383;92025;92200;508063
Si;D;240105;000000;92177;92447;91205;91391;489702
Si;D;240108;000000;91472;92499;90955;92038;726309
Si;D;240109;000000;92000;92056;90377;91060;943476
Si;D;240110;000000;91008;91178;90510;90972;734790
Si;D;240111;000000;90985;91050;89810;89869;879918
Si;D;240112;000000;89809;90115;89321;89897;719083
Si;D;240115;000000;89670;89743;89000;89171;899834
Si;D;240116;000000;89218;90107;88945;89415;895609
Si;D;240117;000000;89509;90542;89381;90255;916160
Si;D;240118;000000;90507;90720;89923;90489;766002
Si;D;240119;000000;90480;90481;89507;89668;719369
Si;D;240122;000000;89723;89830;89042;89501;656888
Si;D;240123;000000;89444;90520;88988;90297;815010
Si;D;240124;000000;90016;90242;89598;89968;745197
Si;D;240125;000000;90018;90983;89942;90505;871678
Si;D;240126;000000;90678;91640;90505;91560;1085182
Si;D;240129;000000;91774;91800;90200;90260;898523
Si;D;240130;000000;90293;91020;89919;90820;746473
Si;D;240131;000000;90848;91488;90579;91457;972957
Si;D;240201;000000;91481;92000;91131;91834;793348
Si;D;240202;000000;91939;92795;91772;92184;1038800
Si;D;240205;000000;92310;93144;91531;91774;1215951
Si;D;240206;000000;91771;92559;91680;92469;706853
Si;D;240207;000000;92410;92846;91934;92573;790778
Si;D;240208;000000;92566;92721;91439;91585;939365
Si;D;240209;000000;91683;92048;91327;91941;736507
Si;D;240212;000000;91919;92266;91600;92016;744786
