<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
CNY;D;240227;000000;12.842;12.876;12.782;12.82;3070354
CNY;D;240228;000000;12.83;12.837;12.661;12.674;5606934
CNY;D;240229;000000;12.682;12.693;12.587;12.663;3805537
CNY;D;240301;000000;12.677;12.749;12.669;12.732;2716166
CNY;D;240304;000000;12.74;12.743;12.646;12.673;2361233
CNY;D;240305;000000;12.685;12.703;12.585;12.598;2574774
CNY;D;240306;000000;12.606;12.621;12.522;12.621;3347650
CNY;D;240307;000000;12.621;12.665;12.59;12.628;2855338
CNY;D;240311;000000;12.641;12.655;12.605;12.642;2722667
CNY;D;240312;000000;12.634;12.816;12.62;12.815;3985840
CNY;D;240313;000000;12.786;12.786;12.666;12.714;4274051
CNY;D;240314;000000;12.715;12.773;12.704;12.721;3377212
CNY;D;240315;000000;12.721;12.88;12.716;12.842;3563977
CNY;D;240318;000000;12.869;12.87;12.667;12.732;4306668
CNY;D;240319;000000;12.731;12.856;12.716;12.822;3730525
CNY;D;240320;000000;13.071;13.161;13.052;13.098;1756601
CNY;D;240321;000000;13.094;13.144;12.993;13.068;4207037
CNY;D;240322;000000;13.061;13.17;13.002;13.134;3157606
CNY;D;240325;000000;13.13;13.134;13.062;13.1;2504912
CNY;D;240326;000000;13.101;13.116;13.067;13.102;1590799
CNY;D;240327;000000;13.099;13.099;12.928;12.95;3671627
CNY;D;240328;000000;12.955;13.038;12.95;13.018;2757442
CNY;D;240329;000000;13.029;13.03;12.907;12.98;3370069
CNY;D;240401;000000;12.985;13.025;12.964;13.004;2645749
CNY;D;240402;000000;13.006;13.071;12.987;13.048;2696913
CNY;D;240403;000000;13.055;13.082;12.936;13.015;3116121
CNY;D;240404;000000;13.015;13.028;12.971;12.993;1474543
CNY;D;240405;000000;12.994;13.075;12.993;13.056;2563109
CNY;D;240408;000000;13.056;13.074;13.029;13.055;1409157
CNY;D;240409;000000;13.058;13.105;13.051;13.096;2246089
CNY;D;240410;000000;13.096;13.17;13.091;13.156;2458484
CNY;D;240411;000000;13.154;13.205;13.091;13.112;2403675
CNY;D;240412;000000;13.135;13.162;13.061;13.099;1754303
CNY;D;240415;000000;13.101;13.154;13.092;13.142;1395520
CNY;D;240416;000000;13.146;13.243;13.129;13.225;2661656
CNY;D;240417;000000;13.221;13.258;13.174;13.214;1940386
CNY;D;240418;000000;13.215;13.234;13.117;13.121;2318683
CNY;D;240419;000000;13.122;13.139;12.995;13.027;2843013
CNY;D;240422;000000;13.03;13.073;12.998;13.033;2360036
CNY;D;240423;000000;13.034;13.043;12.96;12.969;2663613
CNY;D;240424;000000;12.97;12.971;12.851;12.856;2922378
CNY;D;240425;000000;12.859;12.907;12.83;12.872;2390033
CNY;D;240426;000000;12.868;12.893;12.686;12.744;5593142
CNY;D;240427;000000;12.745;12.885;12.719;12.851;1753043
CNY;D;240429;000000;12.87;12.945;12.858;12.889;1655191
CNY;D;240430;000000;12.901;12.937;12.881;12.914;1226948
CNY;D;240502;000000;12.91;12.928;12.798;12.877;3158267
CNY;D;240503;000000;12.874;12.92;12.841;12.875;2472961
CNY;D;240506;000000;12.873;12.879;12.779;12.828;2580904
CNY;D;240507;000000;12.827;12.827;12.737;12.774;2800589
CNY;D;240508;000000;12.777;12.816;12.738;12.796;2581171
CNY;D;240510;000000;12.802;12.865;12.784;12.831;1226240
CNY;D;240513;000000;12.836;12.851;12.711;12.725;2857534
CNY;D;240514;000000;12.73;12.777;12.705;12.746;2448612
CNY;D;240515;000000;12.751;12.779;12.69;12.732;2154417
CNY;D;240516;000000;12.736;12.744;12.685;12.709;1921861
CNY;D;240517;000000;12.716;12.723;12.67;12.675;1217156
CNY;D;240520;000000;12.682;12.692;12.583;12.626;2779839
CNY;D;240521;000000;12.616;12.616;12.494;12.5;2726571
CNY;D;240522;000000;12.506;12.55;12.468;12.531;2203230
CNY;D;240523;000000;12.533;12.543;12.456;12.457;2047888
CNY;D;240524;000000;12.463;12.471;12.365;12.399;2999996
CNY;D;240527;000000;12.394;12.394;12.219;12.238;2909395
CNY;D;240528;000000;12.248;12.309;12.22;12.285;3791169
CNY;D;240529;000000;12.294;12.438;12.29;12.413;2965228
CNY;D;240530;000000;12.424;12.495;12.419;12.487;2658121
CNY;D;240531;000000;12.5;12.517;12.401;12.407;2962619
CNY;D;240603;000000;12.434;12.477;12.286;12.328;4962811
CNY;D;240604;000000;12.342;12.361;12.245;12.29;3213277
CNY;D;240605;000000;12.3;12.325;12.243;12.26;2181816
CNY;D;240606;000000;12.261;12.33;12.227;12.26;4446691
CNY;D;240607;000000;12.278;12.371;12.242;12.285;3355878
CNY;D;240610;000000;12.303;12.333;12.18;12.199;2415242
