<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBRF;D;240410;000000;31738;31823;31496;31697;147603
SBRF;D;240411;000000;31699;31867;31585;31751;157068
SBRF;D;240412;000000;31764;31825;31619;31722;95515
SBRF;D;240415;000000;31723;31839;31635;31776;109847
SBRF;D;240416;000000;31789;31846;31650;31791;114526
SBRF;D;240417;000000;31791;31962;31507;31578;197853
SBRF;D;240418;000000;31590;31790;31314;31751;140111
SBRF;D;240419;000000;31729;31777;31565;31632;90592
SBRF;D;240422;000000;31641;32407;31604;32370;283671
SBRF;D;240423;000000;32400;32451;31446;31571;470153
SBRF;D;240424;000000;31590;31822;31491;31614;134756
SBRF;D;240425;000000;31619;31745;31540;31661;104081
SBRF;D;240426;000000;31695;31800;31622;31711;116539
SBRF;D;240427;000000;31719;31770;31656;31670;52050
SBRF;D;240429;000000;31676;31726;31519;31643;60596
SBRF;D;240430;000000;31631;31695;31509;31531;60353
SBRF;D;240502;000000;31545;31645;31366;31428;93275
SBRF;D;240503;000000;31435;31795;31069;31402;194277
SBRF;D;240506;000000;31449;31498;31185;31196;93835
SBRF;D;240507;000000;31229;31533;31225;31480;93917
SBRF;D;240508;000000;31483;31851;31407;31765;242396
SBRF;D;240510;000000;31786;31980;31760;31971;83567
SBRF;D;240513;000000;31990;32173;31990;32096;102330
SBRF;D;240514;000000;32093;32443;31956;32412;163229
SBRF;D;240515;000000;32420;32627;32339;32580;154464
SBRF;D;240516;000000;32581;32899;32551;32864;129545
SBRF;D;240517;000000;32863;32919;32535;32853;147380
SBRF;D;240520;000000;32868;33055;32403;32612;241055
SBRF;D;240521;000000;32613;32705;32174;32474;282066
SBRF;D;240522;000000;32474;32752;32473;32701;111002
SBRF;D;240523;000000;32709;32826;32527;32763;116903
SBRF;D;240524;000000;32771;32836;32332;32464;150519
SBRF;D;240527;000000;32474;32515;31734;32030;268347
SBRF;D;240528;000000;32030;32380;31858;32108;171605
SBRF;D;240529;000000;32108;32340;31866;32334;128957
SBRF;D;240530;000000;32319;32449;31859;31916;140215
SBRF;D;240531;000000;31919;32100;31236;31508;203240
SBRF;D;240603;000000;31517;31740;30678;31276;330518
SBRF;D;240604;000000;31276;31830;31060;31830;187144
SBRF;D;240605;000000;31825;31990;31582;31646;171134
SBRF;D;240606;000000;31649;31820;31298;31500;172969
SBRF;D;240607;000000;31480;32225;31422;32138;228353
SBRF;D;240610;000000;32183;32339;31701;31859;155117
SBRF;D;240611;000000;31869;32117;31716;31922;134317
SBRF;D;240613;000000;31242;31908;30600;31899;179958
SBRF;D;240614;000000;31903;32165;31705;32018;110201
SBRF;D;240617;000000;32027;32086;31750;31791;102268
SBRF;D;240618;000000;31790;31842;31353;31452;122180
SBRF;D;240619;000000;29927;29963;29122;29420;117838
SBRF;D;240620;000000;29406;29843;28987;29840;197944
SBRF;D;240621;000000;29849;29877;29517;29728;127066
SBRF;D;240624;000000;29700;30247;29650;30000;167290
SBRF;D;240625;000000;29999;30324;29870;30314;161970
SBRF;D;240626;000000;30308;30787;30281;30783;182877
SBRF;D;240627;000000;30786;31144;30550;30994;234585
SBRF;D;240628;000000;31000;31161;30836;30950;161453
SBRF;D;240701;000000;30984;31144;30918;30952;132128
SBRF;D;240702;000000;30952;31158;30951;31099;98298
SBRF;D;240703;000000;31112;31342;30970;31012;195867
SBRF;D;240704;000000;31012;31140;30461;30586;241798
SBRF;D;240705;000000;30596;30741;30185;30556;188447
SBRF;D;240708;000000;30567;30789;30354;30439;124448
SBRF;D;240709;000000;30452;30565;29652;29947;181910
SBRF;D;240710;000000;29972;30009;29381;29580;305559
SBRF;D;240711;000000;29575;30697;29489;30625;548537
SBRF;D;240712;000000;30655;30734;29984;30197;268000
SBRF;D;240715;000000;30204;30317;29237;29304;254050
SBRF;D;240716;000000;29300;29449;28549;29411;411988
SBRF;D;240717;000000;29501;29905;29213;29340;212272
SBRF;D;240718;000000;29330;29940;29140;29927;193795
SBRF;D;240719;000000;29932;30148;29774;29872;187263
SBRF;D;240722;000000;29907;30387;29907;30354;173469
SBRF;D;240723;000000;30364;30399;30182;30292;128196
SBRF;D;240724;000000;30291;30551;30160;30388;111940
SBRF;D;240725;000000;30392;30622;30236;30539;142220
SBRF;D;240726;000000;30515;30850;30050;30102;308704
SBRF;D;240729;000000;30079;30079;29353;29442;274737
SBRF;D;240730;000000;29424;29947;29212;29780;183050
SBRF;D;240731;000000;29804;29865;29530;29616;147093
SBRF;D;240801;000000;29669;29808;29400;29449;92618
SBRF;D;240802;000000;29424;29490;29085;29280;179075
SBRF;D;240805;000000;29100;29100;28163;28181;308426
SBRF;D;240806;000000;28308;28783;28255;28530;208357
SBRF;D;240807;000000;28630;28950;28323;28843;207263
SBRF;D;240808;000000;28845;29167;28607;28703;190178
SBRF;D;240809;000000;28721;28849;28544;28720;126096
SBRF;D;240812;000000;28696;28700;28348;28630;131885
SBRF;D;240813;000000;28629;28987;28587;28969;126040
SBRF;D;240814;000000;28969;29012;28551;28567;109544
SBRF;D;240815;000000;28570;28599;28172;28280;155977
SBRF;D;240816;000000;28286;28387;27900;27930;116749
SBRF;D;240819;000000;27966;28001;26929;27274;280028
SBRF;D;240820;000000;27289;27400;26780;27038;240786
SBRF;D;240821;000000;27028;27217;26795;27109;162215
SBRF;D;240822;000000;27112;27255;26411;26575;221775
SBRF;D;240823;000000;26584;26598;26000;26297;286856
SBRF;D;240826;000000;26488;27078;26485;26882;230809
SBRF;D;240827;000000;26900;26950;26315;26419;150802
SBRF;D;240828;000000;26418;26599;25840;26564;257066
SBRF;D;240829;000000;26564;26739;26156;26369;203116
SBRF;D;240830;000000;26377;26446;25650;25731;224571
SBRF;D;240902;000000;25689;25700;24514;24698;373397
SBRF;D;240903;000000;24810;25264;24242;24677;421512
SBRF;D;240904;000000;24664;25607;24512;25515;253829
SBRF;D;240905;000000;25576;26059;25350;25507;320621
SBRF;D;240906;000000;25501;25755;25212;25641;214095
SBRF;D;240909;000000;25728;26551;25728;26538;293053
SBRF;D;240910;000000;26567;26590;26023;26318;235997
SBRF;D;240911;000000;26293;26377;25901;25994;185717
SBRF;D;240912;000000;25972;26012;25411;25600;266460
SBRF;D;240913;000000;25650;26100;24999;25913;442990
SBRF;D;240916;000000;25987;26534;25852;26447;262853
SBRF;D;240917;000000;26440;26760;26111;26679;321402
SBRF;D;240918;000000;27972;28135;27630;27634;150238
SBRF;D;240919;000000;27674;27959;27550;27790;165816
SBRF;D;240920;000000;27801;28237;27728;28180;175760
SBRF;D;240923;000000;28250;28663;28225;28583;242715
SBRF;D;240924;000000;28594;28650;28275;28492;185031
SBRF;D;240925;000000;28494;28619;27923;28005;222791
SBRF;D;240926;000000;27980;28168;27683;27973;197251
SBRF;D;240927;000000;27981;28131;27863;27942;128022
SBRF;D;240930;000000;27997;28368;27950;27959;247991
SBRF;D;241001;000000;27965;27965;27415;27735;326139
SBRF;D;241002;000000;27720;27891;26900;26987;194284
SBRF;D;241003;000000;26981;27508;26771;27497;256270
SBRF;D;241004;000000;27520;27555;27211;27407;140279
SBRF;D;241007;000000;27436;27671;27121;27340;160019
SBRF;D;241008;000000;27353;27353;27159;27236;121199
SBRF;D;241009;000000;27255;27310;26894;27030;172320
SBRF;D;241010;000000;27043;27100;26820;26938;107747
SBRF;D;241011;000000;26931;26931;26575;26590;146551
SBRF;D;241014;000000;26591;27345;26300;27100;349176
SBRF;D;241015;000000;27079;27315;26908;27138;153224
SBRF;D;241016;000000;27146;27420;26750;26883;237228
SBRF;D;241017;000000;26861;26963;26521;26579;148526
SBRF;D;241018;000000;26544;26747;26266;26548;216137
SBRF;D;241021;000000;26556;26869;26511;26652;133770
SBRF;D;241022;000000;26664;26716;26337;26385;132224
SBRF;D;241023;000000;26384;26420;26000;26000;205105
SBRF;D;241024;000000;26010;26254;25830;26054;210616
SBRF;D;241025;000000;26059;26345;25344;25400;354790
SBRF;D;241028;000000;25352;25674;24900;25025;327084
SBRF;D;241029;000000;25038;25200;24708;25013;268579
SBRF;D;241030;000000;25040;25350;24800;24802;226027
SBRF;D;241031;000000;24810;25000;24321;24498;306606
SBRF;D;241101;000000;24498;24599;24104;24497;276335
